FeatureSet,Method,Threshold,ThresholdUnit,Recall,Precision,F1,TrueNegatives,FalsePositives,FalseNegatives,TruePositives
Full_ContextPlusDay7,RegressionMargin,900.0,psi,0.9827196050195433,0.16458225667527993,0.2819453461606563,52400,24248,84,4777
Full_ContextPlusDay7,RegressionMargin,950.0,psi,0.985805389837482,0.15557431335627556,0.26873790763536437,50638,26010,69,4792
Full_ContextPlusDay7,RegressionMargin,1000.0,psi,0.9862168278132072,0.14699208928680935,0.25585056704469644,48828,27820,67,4794
Full_ContextPlusDay7,RegressionMargin,1050.0,psi,0.9876568607282452,0.13964514252472368,0.2446930506358146,47069,29579,60,4801
Full_ContextPlusDay7,RegressionMargin,1100.0,psi,0.9888911746554206,0.13263982781932065,0.23390589265729161,45214,31434,54,4807
Full_ContextPlusDay7,RegressionMargin,1150.0,psi,0.9903312075704588,0.12639151438773366,0.22417285617825794,43374,33274,47,4814
Full_ContextPlusDay7,RegressionMargin,1200.0,psi,0.991154083521909,0.12041989502624344,0.21474894698134653,41456,35192,43,4818
Full_ContextPlusDay7,RegressionMargin,1250.0,psi,0.9917712404854968,0.1152246653919694,0.20646238838568767,39629,37019,40,4821
Full_ContextPlusDay7,RegressionMargin,1300.0,psi,0.9930055544126722,0.11050065242771788,0.19887112722478575,37792,38856,34,4827
Full_ContextPlusDay7,RegressionMargin,1350.0,psi,0.9932112734005348,0.10611921927202392,0.19175089858410946,35980,40668,33,4828
Full_ContextPlusDay7,RegressionMargin,1400.0,psi,0.9938284303641226,0.1023885721552254,0.18565060333563907,34296,42352,30,4831
Full_ContextPlusDay7,RegressionMargin,1450.0,psi,0.994651306315573,0.09886110372748277,0.17984674899568517,32576,44072,26,4835
Full_ContextPlusDay7,RegressionMargin,1500.0,psi,0.9948570253034356,0.09574341714511977,0.1746762745841686,30974,45674,25,4836
Full_ContextPlusDay7,DirectClassifier,0.05,probability,0.9837481999588562,0.19777492865709914,0.3293388429752066,57251,19397,79,4782
Full_ContextPlusDay7,DirectClassifier,0.075,probability,0.9788109442501542,0.22288846207898066,0.3630952380952381,60059,16589,103,4758
Full_ContextPlusDay7,DirectClassifier,0.1,probability,0.9751080024686278,0.24021893371173728,0.3854755418208433,61656,14992,121,4740
Full_ContextPlusDay7,DirectClassifier,0.125,probability,0.970170746759926,0.2549051402626885,0.40373255714408013,62863,13785,145,4716
Full_ContextPlusDay7,DirectClassifier,0.15,probability,0.9672906809298498,0.2676609552000911,0.41929730693775635,63783,12865,159,4702
Full_ContextPlusDay7,DirectClassifier,0.175,probability,0.9646163340876363,0.27902409997024696,0.43284408751038495,64532,12116,172,4689
Full_ContextPlusDay7,DirectClassifier,0.2,probability,0.9600905163546596,0.28888888888888886,0.4441377997716026,65160,11488,194,4667
Full_ContextPlusDay7,DirectClassifier,0.225,probability,0.9565932935609957,0.2980196116131513,0.4544566067240031,65695,10953,211,4650
Full_ContextPlusDay7,DirectClassifier,0.25,probability,0.952478913803744,0.3063993117596453,0.4636491087522532,66167,10481,231,4630
Full_ContextPlusDay7,DirectClassifier,0.275,probability,0.9479530960707674,0.3145392491467577,0.47234893137204653,66606,10042,253,4608
Full_ContextPlusDay7,DirectClassifier,0.3,probability,0.9421929644106151,0.3223989863437984,0.4804111816226989,67022,9626,281,4580
Full_ContextPlusDay7,DirectClassifier,0.325,probability,0.9378728656655009,0.33029051655437225,0.48853407629661383,67404,9244,302,4559
Full_ContextPlusDay7,DirectClassifier,0.35,probability,0.9341699238839745,0.3397934750074828,0.4983264746227709,67825,8823,320,4541
Full_ContextPlusDay7,DirectClassifier,0.375,probability,0.9284097922238223,0.347528107192361,0.5057432621729142,68175,8473,348,4513
Full_ContextPlusDay7,DirectClassifier,0.4,probability,0.9228553795515326,0.3555802155992391,0.5133604165474623,68518,8130,375,4486
Full_ContextPlusDay7,DirectClassifier,0.425,probability,0.9170952478913804,0.36320677855629785,0.5203384884738839,68832,7816,403,4458
Full_ContextPlusDay7,DirectClassifier,0.45,probability,0.9111293972433656,0.3700083542188805,0.5262907729784326,69107,7541,432,4429
Full_ContextPlusDay7,DirectClassifier,0.475,probability,0.9055749845710759,0.3789600550964187,0.5343205680645748,69434,7214,459,4402
Full_ContextPlusDay7,DirectClassifier,0.5,probability,0.8994034149351985,0.38669732885193703,0.5408548277355106,69714,6934,489,4372
Full_ContextPlusDay7,DirectClassifier,0.525,probability,0.8930261263114585,0.3945646246137066,0.5473113534640358,69987,6661,520,4341
Full_ContextPlusDay7,DirectClassifier,0.55,probability,0.8854145237605431,0.403828110339651,0.5546749146207874,70294,6354,557,4304
Full_ContextPlusDay7,DirectClassifier,0.575,probability,0.8773914832339025,0.41303505713732325,0.5616645815500099,70587,6061,596,4265
Full_ContextPlusDay7,DirectClassifier,0.6,probability,0.8695741616951245,0.4226154769046191,0.5687949942811007,70873,5775,634,4227
Full_ContextPlusDay7,DirectClassifier,0.625,probability,0.8590824933141329,0.4332399626517274,0.576,71185,5463,685,4176
Full_ContextPlusDay7,DirectClassifier,0.65,probability,0.8485908249331413,0.4443127962085308,0.5832449628844114,71489,5159,736,4125
Full_ContextPlusDay7,DirectClassifier,0.675,probability,0.8387163135157375,0.4565509518477044,0.591255166412878,71795,4853,784,4077
Full_ContextPlusDay7,DirectClassifier,0.7,probability,0.8267846122197079,0.4706088992974239,0.5998059846280128,72127,4521,842,4019
Full_ContextPlusDay7,DirectClassifier,0.725,probability,0.8132071590207777,0.48331091820515953,0.6062883435582822,72422,4226,908,3953
Full_ContextPlusDay7,DirectClassifier,0.75,probability,0.7988068298703971,0.49961399897066394,0.614739175176126,72759,3889,978,3883
Full_ContextPlusDay7,DirectClassifier,0.775,probability,0.779263526023452,0.517203713817586,0.6217480508822323,73112,3536,1073,3788
Full_ContextPlusDay7,DirectClassifier,0.8,probability,0.7578687512857437,0.5351539802440441,0.627330779054917,73448,3200,1177,3684
Full_ContextPlusDay7,DirectClassifier,0.825,probability,0.7348282246451348,0.5570804741110418,0.6337266033886277,73808,2840,1289,3572
Full_ContextPlusDay7,DirectClassifier,0.85,probability,0.7074675992594116,0.5839701137714383,0.6398139534883721,74198,2450,1422,3439
Full_ContextPlusDay7,DirectClassifier,0.875,probability,0.671055338407735,0.6126972201352366,0.6405498281786941,74586,2062,1599,3262
Full_ContextPlusDay7,DirectClassifier,0.9,probability,0.6216827813207159,0.6505920344456405,0.6358089627603619,75025,1623,1839,3022
Full_ContextPlusDay7,DirectClassifier,0.925,probability,0.5400123431392717,0.6927949326999209,0.6069364161849711,75484,1164,2236,2625
Full_ContextPlusDay7,DirectClassifier,0.95,probability,0.43036412260851675,0.7571480275063337,0.5487932843651626,75977,671,2769,2092
