FeatureSet,Model,MeanCV_MAE,StdCV_MAE,MeanCV_RMSE,StdCV_RMSE,MeanCV_R2,StdCV_R2,MeanCV_MedianAE,MeanCV_Bias,MeanWithin300PsiPercent,MeanWithin500PsiPercent,MeanTrainingSeconds
Full_ContextPlusDay7,HistGradientBoosting,320.8546496662896,10.768619911951939,465.1236520055838,22.349928972303037,0.9245383355947216,0.01264847529193542,236.14601329579392,-3.97341729172227,60.07804066263509,81.11251961144929,1.8086111799995706
Day7_FieldPlusRequired,XGBoost,344.67121303073003,9.204973889638655,492.8331280258111,18.72011236665816,0.9151373666364353,0.01464235999599143,256.3065783951172,-5.832382997005242,56.59129907897339,78.20239913537387,1.8461544400008278
Day0_Context,HistGradientBoosting,663.637050295706,30.305912080793366,918.629455382181,56.50198218744546,0.7079273999687322,0.02920545625109539,502.22863963680095,-42.017513284107444,31.60263874349868,49.87055286320104,1.718690620000416
Day0_FieldPlusRequired,HistGradientBoosting,699.3882903124605,26.53782767728174,955.1025517097047,49.529654434016194,0.6835825547439136,0.03611221977524688,537.9599002143781,-14.320369227847753,29.558692991062333,47.13342843570566,1.7185457600004157
